Facing,No_Bedroom,No_Bathroom,No_Balcony,Corner_Property,Furnishing,study room,servant room,store room,pooja room,Overlooking_main road,Overlooking_club,Overlooking_pool,Overlooking_NA,flat_age,sector_num,Super Built-up Area,luxury_category,floor_category,price
1.0,2,2.0,1,0,0.0,0,0,1,0,1,0,0,0,3,90,690.0,2.0,0.0,0.61
3.0,2,2.0,1,0,0.0,0,0,1,0,1,0,0,0,3,90,690.0,2.0,2.0,0.7
4.0,2,2.0,1,1,1.0,0,0,0,0,1,1,0,0,3,70,836.0,2.0,2.0,0.71
0.0,2,2.0,2,1,1.0,0,0,0,0,1,1,1,0,1,68,1260.0,2.0,2.0,1.55
2.0,2,2.0,4,1,1.0,0,0,0,0,0,1,1,0,3,107,1366.0,2.0,1.0,1.3
2.0,2,2.0,1,1,1.0,0,0,0,0,1,0,0,0,3,95,741.1500000000001,0.0,2.0,0.51
1.0,2,2.0,2,1,1.0,0,0,0,1,1,0,0,0,3,95,868.0500000000001,2.0,1.0,0.59
0.0,2,3.0,4,1,1.0,0,0,0,1,1,0,0,0,3,85,1671.0,1.0,0.0,1.7
1.0,2,3.0,2,1,1.0,0,0,0,1,1,0,0,0,3,85,1671.0,1.0,1.0,1.64
1.0,2,2.0,2,1,1.0,1,0,0,0,1,1,1,0,3,65,1020.0,0.0,2.0,1.75
0.0,2,2.0,4,1,1.0,0,0,0,0,1,1,1,0,3,106,1385.0,2.0,1.0,1.4
3.0,2,2.0,1,0,0.0,0,0,0,0,0,0,0,1,3,76,785.7,0.0,2.0,0.7
6.0,2,2.0,2,0,1.0,0,0,0,0,0,0,0,1,1,62,1508.0,0.0,1.0,3.4
4.0,2,2.0,4,1,1.0,1,0,0,0,1,1,1,0,3,113,1573.0,2.0,1.0,2.42
4.0,2,2.0,2,1,1.0,0,0,0,0,1,1,0,0,3,33,1125.0,2.0,2.0,1.55
1.0,2,2.0,4,0,0.0,1,0,0,0,1,1,1,0,3,84,1350.0,2.0,2.0,1.1
1.0,2,2.0,4,1,0.0,1,0,0,0,1,1,1,0,3,84,1450.0,2.0,1.0,1.15
0.0,2,2.0,1,1,0.0,0,0,0,0,1,1,1,0,1,82,1254.15,2.0,2.0,1.0
2.0,2,2.0,1,1,1.0,0,0,0,0,1,1,1,0,3,69,650.7,1.0,2.0,0.73
7.0,2,2.0,3,0,0.0,0,0,0,0,0,0,0,0,3,91,1404.0,1.0,0.0,1.3
4.0,2,3.0,2,1,0.0,0,0,0,1,1,1,1,0,3,85,1671.0,1.0,2.0,1.67
4.0,2,2.0,3,1,0.0,0,0,0,1,1,1,1,0,3,85,1640.0,1.0,2.0,1.68
7.0,2,2.0,3,1,0.0,0,0,0,1,1,1,1,0,3,85,1741.0,1.0,0.0,1.68
4.0,2,2.0,2,1,1.0,0,0,0,0,1,1,1,0,3,102,1368.0,2.0,2.0,1.8
6.0,2,2.0,4,1,1.0,0,0,0,0,1,1,1,0,3,104,1282.5,1.0,2.0,0.99
2.0,2,2.0,4,1,0.0,0,0,0,0,1,1,1,0,3,107,1366.0,2.0,0.0,1.3
0.0,2,2.0,3,0,1.0,1,0,0,0,1,1,1,0,3,65,1516.0,2.0,0.0,2.7
3.0,2,3.0,3,1,1.0,0,1,0,0,1,1,1,0,3,104,1700.0,2.0,2.0,2.25
2.0,2,2.0,2,0,0.0,0,0,0,0,0,0,0,0,1,65,1516.0,2.0,1.0,2.6
0.0,2,2.0,1,1,1.0,0,0,0,0,0,1,0,0,3,67,800.0,2.0,2.0,0.71
4.0,2,2.0,1,1,2.0,0,0,0,0,0,0,0,0,3,70,676.35,2.0,0.0,0.7
4.0,2,2.0,3,0,1.0,0,0,1,0,1,0,0,0,1,103,1361.0,2.0,2.0,1.1
0.0,2,2.0,2,1,1.0,0,0,0,0,1,1,1,0,3,82,1300.0,2.0,0.0,1.32
2.0,2,2.0,3,0,1.0,0,1,0,0,1,0,0,0,3,67,1540.0,1.0,0.0,1.85
4.0,2,2.0,3,1,1.0,0,0,0,0,1,1,1,0,1,70,1450.0,2.0,0.0,1.68
0.0,2,2.0,3,1,0.0,0,0,0,0,1,1,1,0,3,103,1361.0,1.0,2.0,1.1
4.0,2,2.0,1,1,1.0,0,0,0,0,1,1,1,0,3,70,930.0,2.0,2.0,1.28
6.0,2,2.0,1,0,0.0,0,0,0,0,0,1,1,0,3,67,800.0,0.0,0.0,0.76
3.0,2,2.0,2,0,1.0,0,0,0,0,1,0,0,0,3,67,1296.0,2.0,2.0,1.86
0.0,2,2.0,2,1,1.0,1,0,0,0,1,0,0,0,3,67,1484.0,2.0,2.0,1.95
7.0,2,2.0,2,1,1.0,0,0,0,0,1,1,0,0,3,67,1296.0,2.0,1.0,1.82
4.0,2,2.0,2,1,1.0,1,0,0,0,1,1,1,0,3,67,1484.0,2.0,1.0,1.8
2.0,2,2.0,3,0,1.0,0,0,0,0,0,0,0,1,3,85,1640.0,2.0,2.0,1.8
2.0,2,2.0,2,0,1.0,0,0,0,0,0,0,0,1,4,83,1245.0,2.0,2.0,1.35
0.0,2,2.0,2,1,1.0,0,0,0,0,1,0,0,0,3,67,1296.0,2.0,0.0,1.9
6.0,2,2.0,2,1,1.0,1,0,0,0,1,1,0,0,3,67,1484.0,2.0,0.0,1.94
0.0,2,2.0,2,1,1.0,1,0,0,0,1,0,0,0,3,67,1484.0,2.0,2.0,1.95
4.0,2,2.0,4,1,1.0,0,0,0,0,1,1,1,0,3,107,1366.0,1.0,2.0,1.22
0.0,2,2.0,3,0,1.0,1,0,0,0,1,1,1,0,3,107,1534.0,1.0,2.0,1.28
0.0,2,2.0,1,0,0.0,0,0,0,0,0,0,0,1,3,76,870.7500000000001,0.0,1.0,0.71
0.0,2,2.0,1,1,1.0,0,0,0,0,1,0,0,0,1,83,1254.15,2.0,0.0,1.2
0.0,2,2.0,1,1,2.0,0,0,0,0,1,1,1,0,1,86,676.35,0.0,1.0,0.68
0.0,2,2.0,2,1,1.0,1,0,0,0,0,1,1,0,3,82,1435.0,1.0,1.0,1.6
4.0,2,2.0,3,1,1.0,1,0,0,0,1,1,1,0,3,70,1565.0,1.0,0.0,2.26
0.0,2,2.0,1,1,0.0,0,0,0,0,1,0,0,0,3,90,690.0,0.0,0.0,0.64
7.0,2,2.0,2,0,0.0,0,0,0,0,0,0,0,1,3,107,778.95,0.0,2.0,0.57
4.0,2,2.0,3,1,1.0,1,0,0,0,1,1,1,0,1,99,1550.0,1.0,2.0,1.45
3.0,2,2.0,2,0,0.0,0,0,0,0,0,0,0,1,3,107,554.0,0.0,1.0,0.46
2.0,2,2.0,2,1,1.0,0,0,0,0,1,0,0,0,3,107,660.1500000000001,2.0,0.0,0.55
1.0,2,2.0,2,1,1.0,1,0,0,1,1,0,0,0,3,95,870.7500000000001,0.0,2.0,0.52
1.0,2,2.0,1,0,1.0,0,0,0,0,1,0,0,0,3,95,741.1500000000001,2.0,1.0,0.52
0.0,2,2.0,2,1,0.0,0,0,0,0,1,1,1,0,3,108,1510.0,0.0,1.0,0.96
4.0,2,2.0,3,1,1.0,0,0,1,0,1,0,0,0,1,103,1361.0,2.0,2.0,1.08
3.0,2,2.0,1,1,1.0,1,0,0,0,0,0,0,0,4,58,1625.0,1.0,1.0,3.4
4.0,2,2.0,1,1,1.0,0,0,0,0,1,0,1,0,3,67,810.0,2.0,2.0,0.7
3.0,2,2.0,2,1,0.0,0,0,0,1,1,0,0,0,3,95,693.9000000000001,2.0,2.0,0.54
0.0,2,2.0,3,1,1.0,0,0,0,0,1,1,1,0,3,65,1261.0,0.0,1.0,2.26
3.0,2,2.0,3,0,1.0,0,0,0,1,0,0,0,0,3,102,1458.0,0.0,2.0,1.57
0.0,2,2.0,3,0,0.0,0,0,0,0,1,0,0,0,3,103,827.5500000000001,0.0,1.0,0.6475
7.0,2,2.0,2,1,1.0,0,0,0,1,1,0,1,0,3,95,868.0500000000001,2.0,1.0,0.6
1.0,2,2.0,2,1,1.0,0,0,0,1,1,0,0,0,3,95,868.0500000000001,2.0,0.0,0.54
7.0,2,2.0,3,1,0.0,1,0,0,0,1,1,1,0,3,84,1450.0,1.0,0.0,1.1
1.0,2,2.0,4,1,1.0,1,0,0,0,1,1,1,0,3,107,1366.0,1.0,2.0,1.1
4.0,2,2.0,2,0,1.0,1,0,0,0,1,1,1,0,4,50,1336.0,2.0,0.0,2.05
4.0,2,2.0,2,0,0.0,0,0,0,0,0,0,0,1,3,50,1320.0,2.0,2.0,1.6
4.0,2,2.0,3,1,1.0,1,0,0,0,1,1,1,0,1,70,1350.0,2.0,1.0,1.5
1.0,2,2.0,3,1,1.0,0,0,0,1,0,1,1,0,3,85,1640.0,1.0,2.0,1.62
6.0,2,2.0,2,1,1.0,0,0,0,0,1,1,1,0,3,67,945.0,2.0,2.0,0.73
5.0,2,2.0,2,1,1.0,0,0,0,0,1,1,1,0,3,67,945.0,2.0,0.0,0.74
5.0,2,2.0,1,0,0.0,0,0,0,0,0,0,0,1,3,67,800.0,0.0,0.0,0.75
3.0,2,2.0,1,1,0.0,0,0,0,0,1,1,1,0,3,67,800.0,0.0,0.0,0.75
3.0,2,2.0,4,1,0.0,1,0,0,0,1,1,1,0,3,84,1610.0,2.0,2.0,1.5
3.0,2,2.0,3,1,1.0,0,0,0,0,1,1,1,0,3,81,1529.0,2.0,0.0,1.35
0.0,2,2.0,2,1,1.0,0,0,0,0,1,1,0,0,3,67,1296.0,2.0,1.0,1.65
0.0,2,2.0,2,1,1.0,1,0,0,0,1,0,0,0,3,67,1484.0,2.0,2.0,1.86
0.0,2,2.0,2,1,1.0,1,0,0,0,1,0,0,0,3,67,1484.0,2.0,2.0,1.82
6.0,2,2.0,2,1,1.0,0,0,0,1,1,1,1,0,3,108,1381.0,1.0,2.0,2.4
1.0,2,2.0,3,0,1.0,1,0,0,0,0,0,0,1,1,84,1610.0,2.0,2.0,1.4
