,Facing,No_Bedroom,No_Bathroom,No_Balcony,Corner_Property,Furnishing,study room,servant room,store room,pooja room,Overlooking_main road,Overlooking_club,Overlooking_pool,Overlooking_NA,flat_age,sector_num,Super Built-up Area,luxury_category,floor_category,price
0,West,2,2.0,1,No,Unfurnished,0,0,1,0,1,0,0,0,Relatively New,90,690.0,Luxury,Low Floor,0.61
1,South,2,2.0,1,No,Unfurnished,0,0,1,0,1,0,0,0,Relatively New,90,690.0,Luxury,High Floor,0.7
2,North-East,2,2.0,1,Yes,Semifurnished,0,0,0,0,1,1,0,0,Relatively New,70,836.0,Luxury,High Floor,0.71
3,East,2,2.0,2,Yes,Semifurnished,0,0,0,0,1,1,1,0,New Property,68,1260.0,Luxury,High Floor,1.55
4,North,2,2.0,3+,Yes,Semifurnished,0,0,0,0,0,1,1,0,Relatively New,107,1366.0,Luxury,Mid Floor,1.3
5,North,2,2.0,1,Yes,Semifurnished,0,0,0,0,1,0,0,0,Relatively New,95,741.1500000000001,Budget,High Floor,0.51
6,West,2,2.0,2,Yes,Semifurnished,0,0,0,1,1,0,0,0,Relatively New,95,868.0500000000001,Luxury,Mid Floor,0.59
7,East,2,3.0,3+,Yes,Semifurnished,0,0,0,1,1,0,0,0,Relatively New,85,1671.0,Standard,Low Floor,1.7
8,West,2,3.0,2,Yes,Semifurnished,0,0,0,1,1,0,0,0,Relatively New,85,1671.0,Standard,Mid Floor,1.64
9,West,2,2.0,2,Yes,Semifurnished,1,0,0,0,1,1,1,0,Relatively New,65,1020.0,Budget,High Floor,1.75
10,East,2,2.0,3+,Yes,Semifurnished,0,0,0,0,1,1,1,0,Relatively New,106,1385.0,Luxury,Mid Floor,1.4
11,South,2,2.0,1,No,Unfurnished,0,0,0,0,0,0,0,1,Relatively New,76,785.7,Budget,High Floor,0.7
12,South-East,2,2.0,2,No,Semifurnished,0,0,0,0,0,0,0,1,New Property,62,1508.0,Budget,Mid Floor,3.4
13,North-East,2,2.0,3+,Yes,Semifurnished,1,0,0,0,1,1,1,0,Relatively New,113,1573.0,Luxury,Mid Floor,2.42
14,North-East,2,2.0,2,Yes,Semifurnished,0,0,0,0,1,1,0,0,Relatively New,33,1125.0,Luxury,High Floor,1.55
15,West,2,2.0,3+,No,Unfurnished,1,0,0,0,1,1,1,0,Relatively New,84,1350.0,Luxury,High Floor,1.1
16,West,2,2.0,3+,Yes,Unfurnished,1,0,0,0,1,1,1,0,Relatively New,84,1450.0,Luxury,Mid Floor,1.15
17,East,2,2.0,1,Yes,Unfurnished,0,0,0,0,1,1,1,0,New Property,82,1254.15,Luxury,High Floor,1.0
18,North,2,2.0,1,Yes,Semifurnished,0,0,0,0,1,1,1,0,Relatively New,69,650.7,Standard,High Floor,0.73
19,South-West,2,2.0,3,No,Unfurnished,0,0,0,0,0,0,0,0,Relatively New,91,1404.0,Standard,Low Floor,1.3
20,North-East,2,3.0,2,Yes,Unfurnished,0,0,0,1,1,1,1,0,Relatively New,85,1671.0,Standard,High Floor,1.67
21,North-East,2,2.0,3,Yes,Unfurnished,0,0,0,1,1,1,1,0,Relatively New,85,1640.0,Standard,High Floor,1.68
22,South-West,2,2.0,3,Yes,Unfurnished,0,0,0,1,1,1,1,0,Relatively New,85,1741.0,Standard,Low Floor,1.68
23,North-East,2,2.0,2,Yes,Semifurnished,0,0,0,0,1,1,1,0,Relatively New,102,1368.0,Luxury,High Floor,1.8
24,South-East,2,2.0,3+,Yes,Semifurnished,0,0,0,0,1,1,1,0,Relatively New,104,1282.5,Standard,High Floor,0.99
25,North,2,2.0,3+,Yes,Unfurnished,0,0,0,0,1,1,1,0,Relatively New,107,1366.0,Luxury,Low Floor,1.3
26,East,2,2.0,3,No,Semifurnished,1,0,0,0,1,1,1,0,Relatively New,65,1516.0,Luxury,Low Floor,2.7
27,South,2,3.0,3,Yes,Semifurnished,0,1,0,0,1,1,1,0,Relatively New,104,1700.0,Luxury,High Floor,2.25
28,North,2,2.0,2,No,Unfurnished,0,0,0,0,0,0,0,0,New Property,65,1516.0,Luxury,Mid Floor,2.6
29,East,2,2.0,1,Yes,Semifurnished,0,0,0,0,0,1,0,0,Relatively New,67,800.0,Luxury,High Floor,0.71
30,North-East,2,2.0,1,Yes,Furnished,0,0,0,0,0,0,0,0,Relatively New,70,676.35,Luxury,Low Floor,0.7
